GeneId	GeneName
NCU03659.7	serine/threonine-protein kinase
NCU08267.7	activating signal cointegrator 1 complex subunit 3
NCU00848.7	integral membrane protein TmpA
NCU05761.7	conserved hypothetical protein
NCU08361.7	short chain dehydrogenase
NCU03248.7	conserved hypothetical protein
NIL	conserved hypothetical protein
NCU08020.7	pms-1
NCU16397.7	nuclear polyadenylated RNA-binding protein Nab2
NCU03162.7	conserved hypothetical protein
NCU00962.7	conserved hypothetical protein
NCU02369.7	gh28-1
NCU05603.7	conserved hypothetical protein
NCU16554.7	conserved hypothetical protein
NCU02111.7	myosin-5
NCU00735.7	conserved hypothetical protein
NCU10793.7	conserved hypothetical protein
NCU16704.7	crp-60
NCU08613.7	conserved hypothetical protein
NCU10896.7	conserved hypothetical protein
NCU02910.7	conserved hypothetical protein
NCU02349.7	UDP-glucose:glycoprotein glucosyltransferase
NCU04757.7	conserved hypothetical protein
NCU06739.7	peptidyl prolyl cis-trans isomerase Cyclophilin
NCU01763.7	conserved hypothetical protein
NCU01365.7	ATP dependent DNA ligase domain-containing protein
NCU04798.7	alpha-1,2-mannosidase subfamily
NCU08397.7	conserved hypothetical protein
NCU16918.7	hypothetical protein
NCU00005.7	conserved hypothetical protein
NCU06589.7	conserved hypothetical protein
NCU04903.7	tripeptidyl peptidase I
NCU09107.7	conserved hypothetical protein
NCU01373.7	conserved hypothetical protein
NCU08952.7	translation regulator GCD7
NCU04609.7	conserved hypothetical protein
NCU07364.7	conserved hypothetical protein
NCU07500.7	conserved hypothetical protein
NCU01015.7	conserved hypothetical protein
NCU05933.7	conserved hypothetical protein
NCU08829.7	conserved hypothetical protein
NCU17049.7	pex19
NCU09907.7	predicted protein
NCU02818.7	predicted protein
NCU00635.7	nascent polypeptide-associated complex subunit alpha
NCU07797.7	conserved hypothetical protein
NCU03592.7	P-type ATPase
NCU02666.7	NSDC
NCU08223.7	conserved hypothetical protein
NCU02402.7	rhc18
NCU03717.7	translation initiation factor 4E
NCU01075.7	conserved hypothetical protein
NCU08852.7	parp
NCU00419.7	DNA-directed RNA polymerase I and III polypeptide
NCU04155.7	exosome component 1
NCU01720.7	conserved hypothetical protein
NCU02627.7	conserved hypothetical protein
NCU04483.7	sedoheptulose-1,7-bisphosphatase
NCU08735.7	conserved hypothetical protein
NCU09489.7	phosphoglycerate mutase
NCU04802.7	pex11
NCU08271.7	GTP-binding protein yptV5
NCU00512.7	conserved hypothetical protein
NCU08049.7	conserved hypothetical protein
NCU07804.7	conserved hypothetical protein
NCU16334.7	predicted protein
NCU02390.7	conserved hypothetical protein
NCU09727.7	NADPH-dependent FMN/FAD containing oxidoreductase
NCU04212.7	conserved hypothetical protein
NCU01201.7	trm-112
NCU09581.7	conserved hypothetical protein
NCU01932.7	set-3
NCU00746.7	conserved hypothetical protein
NCU02255.7	N-acetylglucosaminyl transferase component Gpi1
NCU06541.7	alpha-1,2 mannosyltransferase KTR1
NCU03264.7	ELMO/CED-12 family protein
NCU05972.7	sporulation-specific protein 6
NCU01170.7	conserved hypothetical protein
NCU07141.7	conserved hypothetical protein
NCU02096.7	flavohemoglobin
NCU07345.7	conserved hypothetical protein
NCU00336.7	U3 small nucleolar RNA-associated protein 10
NCU04291.7	conserved hypothetical protein
NCU08136.7	conserved hypothetical protein
NIL	conserved hypothetical protein
NCU09149.7	conserved hypothetical protein
NCU16443.7	predicted protein
NCU02155.7	conserved hypothetical protein
NCU09971.7	conserved hypothetical protein
NCU09738.7	xdh-2
NCU07270.7	conserved hypothetical protein
NCU03602.7	conserved hypothetical protein
NCU07125.7	cytomegalovirus gH-receptor family protein
NCU08232.7	alpha-1,6-mannosyltransferase Och1
NCU06729.7	gna-2
NCU02283.7	calcium/calmodulin-dependent protein kinase type I
NCU06242.7	lectin family integral membrane protein
NCU01024.7	conserved hypothetical protein
NCU07007.7	sub-2
NCU06938.7	conserved hypothetical protein
NCU01942.7	conserved hypothetical protein
NCU01554.7	dmm-1
NCU04383.7	conserved hypothetical protein
NCU02915.7	conserved hypothetical protein
NCU09714.7	conserved hypothetical protein
NCU11290.7	conserved hypothetical protein
NCU09498.7	conserved hypothetical protein
NCU07072.7	galactose-1-phosphate uridylyltransferase
NCU03632.7	farnesyltransferase/geranylgeranyltransferase type I alpha subunit
NCU01123.7	conserved hypothetical protein
NCU02399.7	conserved hypothetical protein
NCU12078.7	conserved hypothetical protein
NCU03374.7	conserved hypothetical protein
NCU02003.7	tef-1
NCU09578.7	conserved hypothetical protein
NCU00571.7	conserved hypothetical protein
NCU11180.7	patatin-like phospholipase domain-containing protein
NCU06966.7	conserved hypothetical protein
NCU04037.7	conserved hypothetical protein
NCU02002.7	conserved hypothetical protein
NCU09600.7	dienelactone hydrolase
NCU02543.7	aspartate aminotransferase
NIL	group I intron endonuclease
NCU12075.7	hypothetical protein
NCU17061.7	DnaJ domain-containing protein
NCU06653.7	conserved hypothetical protein
NCU06020.7	gh18-7
NCU10483.7	conserved hypothetical protein
NCU00495.7	SipA3
NCU08730.7	mus-23
NCU03309.7	Nedd8-like protein
NCU09523.7	predicted protein
NCU04765.7	conserved hypothetical protein
NCU01411.7	MFS multidrug resistance transporter
NCU01929.7	PAB-dependent poly(A)-specific ribonuclease subunit pan-3
NCU16645.7	hypothetical protein
NCU07009.7	conserved hypothetical protein
NCU03907.7	pre-rRNA processing protein
NCU02118.7	palmitoyltransferase PFA4
NCU00594.7	conserved hypothetical protein
NCU08632.7	conserved hypothetical protein
NCU06114.7	conserved hypothetical protein
NCU16686.7	conserved hypothetical protein
NCU03131.7	FAD dependent oxidoreductase superfamily
NCU17054.7	conserved hypothetical protein
NCU07021.7	peptide chain release factor 3
NCU16721.7	integral membrane protein
NCU05675.7	conserved hypothetical protein
NCU02707.7	crp-39
NCU04589.7	heterokaryon incompatibility protein 6
NCU09575.7	cea-2
NCU05488.7	RNA-binding protein Vip1
NCU02780.7	U2 small nuclear ribonucleoprotein B
NCU00037.7	polyadenylation factor subunit 2
NCU04782.7	hat-6
NCU07557.7	conserved hypothetical protein
NCU02738.7	pef-1
NCU05750.7	ribonuclease H
NCU01581.7	conserved hypothetical protein
NCU01192.7	pold-1
NCU00216.7	nitrate reductase
NCU02356.7	wc-1
NCU00246.7	conserved hypothetical protein
NCU03242.7	serine/threonine-protein kinase cbk1
NCU05458.7	conserved hypothetical protein
NCU06013.7	polyketide synthase
NCU04892.7	conserved hypothetical protein
NCU09670.7	amidohydrolase
NCU03571.7	serine/threonine protein kinase
NCU02208.7	eif3b
NCU11406.7	MOSC domain-containing protein
NCU04476.7	conserved hypothetical protein
NCU01844.7	conserved hypothetical protein
NCU04853.7	conserved hypothetical protein
NCU02711.7	conserved hypothetical protein
NCU09265.7	calreticulin
NCU03747.7	conserved hypothetical protein
NCU01851.7	conserved hypothetical protein
NCU07250.7	conserved hypothetical protein
NCU05566.7	conserved hypothetical protein
NCU01837.7	conserved hypothetical protein
NCU02315.7	conserved hypothetical protein
NCU04540.7	fwd-1
NCU05608.7	phosphatidylinositol 3-kinase tor2
NCU08772.7	cyclin-dependent protein kinase complex component
NCU07508.7	conserved hypothetical protein
NCU05025.7	conserved hypothetical protein
NCU08792.7	conserved hypothetical protein
NCU01647.7	GTP-binding protein ypt4
NCU07254.7	conserved hypothetical protein
NCU03993.7	conserved hypothetical protein
NCU16329.7	conserved hypothetical protein
NCU03542.7	enoyl-CoA hydratase/isomerase
NCU01640.7	rpn-4
NCU16705.7	predicted protein
NCU08012.7	exocyst complex protein EXO70
NCU01562.7	2,4-dichlorophenoxyacetate alpha-ketoglutarate dioxygenase
NCU01301.7	60S ribosomal subunit assembly/export protein loc-1
NCU01158.7	conserved hypothetical protein
NCU16588.7	conserved hypothetical protein
NCU04598.7	conserved hypothetical protein
NCU07331.7	U3 small nucleolar ribonucleoprotein Lcp5
NCU09226.7	WLM domain-containing protein
NCU08125.7	predicted protein
NCU07312.7	conserved hypothetical protein
NCU08070.7	meiotically up-regulated 182 protein
NCU07428.7	tcu-3
NCU04730.7	qde-2
NCU06350.7	conserved hypothetical protein
NCU05034.7	conserved hypothetical protein
NCU09534.7	peroxiredoxin HYR1
NCU01041.7	mitochondrial metalloendopeptidase OMA1
NCU01908.7	conserved hypothetical protein
NCU05826.7	conserved hypothetical protein
NCU16307.7	predicted protein
NCU09657.7	conserved hypothetical protein
NCU06113.7	ammecr1 family protein
NCU07722.7	serine/threonine-protein kinase RIO2
NCU00783.7	conserved hypothetical protein
NCU00559.7	conserved hypothetical protein
NCU07114.7	conserved hypothetical protein
NCU06040.7	conserved hypothetical protein
NCU10916.7	conserved hypothetical protein
NCU10396.7	conserved hypothetical protein
NCU06394.7	arp-5
NCU04566.7	protein kinase SNF1
NCU17188.7	hypothetical protein
NCU06086.7	regulatory protein suaprga1
NIL	conserved hypothetical protein
NCU06319.7	gh76-4
NCU02652.7	conserved hypothetical protein
NCU08468.7	actin-interacting protein
NCU16559.7	conserved hypothetical protein
NCU11228.7	DUF1339 domain-containing protein
NCU07174.7	conserved hypothetical protein
NCU04464.7	conserved hypothetical protein
NCU09190.7	conserved hypothetical protein
NCU05922.7	conserved hypothetical protein
NCU07647.7	conserved hypothetical protein
NCU06577.7	mus-26
NCU09613.7	conserved hypothetical protein
NCU07381.7	DNA cross-link repair protein pso2/snm1
NCU01445.7	conserved hypothetical protein
NCU02292.7	conserved hypothetical protein
NCU04378.7	DNA replication initiation factor Cdc45
NIL	conserved hypothetical protein
NCU08773.7	conserved hypothetical protein
NCU06590.7	conserved hypothetical protein
NCU07228.7	conserved hypothetical protein
NCU05811.7	conserved hypothetical protein
NCU06321.7	conserved hypothetical protein
NCU06160.7	conserved hypothetical protein
NCU01485.7	mrp-42
NCU09650.7	hypothetical protein
NCU09406.7	copper amine oxidase
NCU05206.7	gna-3
NCU04379.7	neuronal calcium sensor 1
NCU01339.7	conserved hypothetical protein
NCU07532.7	conserved hypothetical protein
NCU00277.7	conserved hypothetical protein
NCU02431.7	RING-14 protein
NCU05316.7	pfs domain-containing protein
NCU00895.7	RAB GTPase Ypt5
NCU01853.7	choline dehydrogenase
NCU01759.7	mig-5
NCU04238.7	histone H1-binding protein
NCU08171.7	acw-12
NIL	conserved hypothetical protein
NCU07305.7	conserved hypothetical protein
NCU07232.7	heat shock protein 30
NCU08292.7	conserved hypothetical protein
NCU00732.7	trichothecene C-15 hydroxylase
NCU01794.7	conserved hypothetical protein
NCU16384.7	conserved hypothetical protein
NCU04351.7	conserved hypothetical protein
NCU03323.7	conserved hypothetical protein
NCU02720.7	conserved hypothetical protein
NCU00152.7	bud4
NCU09631.7	conserved hypothetical protein
NCU07590.7	Ser/Thr protein phosphatase
NCU07687.7	conserved hypothetical protein
NCU07552.7	conserved hypothetical protein
NCU04342.7	conserved hypothetical protein
NCU02039.7	conserved hypothetical protein
NCU03689.7	conserved hypothetical protein
NCU02718.7	conserved hypothetical protein
NCU10169.7	conserved hypothetical protein
NCU08028.7	conserved hypothetical protein
NCU07073.7	conserved hypothetical protein
NCU01549.7	conserved hypothetical protein
NCU03285.7	conserved hypothetical protein
NCU07181.7	conserved hypothetical protein
NCU01082.7	conserved hypothetical protein
NCU04337.7	survival factor 1
NCU05681.7	conserved hypothetical protein
NCU00312.7	conserved hypothetical protein
NCU04705.7	conserved hypothetical protein
NCU17030.7	conserved hypothetical protein
NCU03344.7	conserved hypothetical protein
NCU09163.7	conserved hypothetical protein
NCU16980.7	hypothetical protein
NCU00133.7	FACT complex subunit pob-3
NCU07905.7	conserved hypothetical protein
NCU17185.7	anucleate primary sterigmata protein B
NCU04940.7	reticulon-4-interacting protein 1
NCU07584.7	vacuolar segregation protein pep7
NCU06942.7	vacuolar protein sorting-associated protein VPS4
NCU05999.7	CaaX farnesyltransferase beta subunit Ram1
NCU01526.7	conserved hypothetical protein
NCU09232.7	conserved hypothetical protein
NCU11158.7	conserved hypothetical protein
NCU04631.7	conserved hypothetical protein
NCU03574.7	conserved hypothetical protein
NCU01808.7	cyc-1
NCU05069.7	FAD dependent oxidoreductase
NCU07077.7	conserved hypothetical protein
NCU02044.7	GTP-binding protein
NCU05213.7	conserved hypothetical protein
NCU09713.7	conserved hypothetical protein
NCU00019.7	FKH1
NCU06976.7	ro-1
NCU09155.7	apr-11
NCU07293.7	conserved hypothetical protein
NCU04278.7	conserved hypothetical protein
NCU05926.7	conserved hypothetical protein
NCU05381.7	conserved hypothetical protein
NCU08851.7	conserved hypothetical protein
NCU04959.7	secreted glucosidase
NCU08072.7	cell wall glucanase
NCU08766.7	conserved hypothetical protein
NCU09462.7	conserved hypothetical protein
NCU08978.7	conserved hypothetical protein
NCU07546.7	multidrug resistance protein MDR
NCU00737.7	presequence translocated-associated motor subunit pam-17
NCU07133.7	metallo-beta-lactamase superfamily protein
NCU01051.7	conserved hypothetical protein
NCU03500.7	aminotransferase
NCU02148.7	triacylglycerol lipase
NCU07863.7	conserved hypothetical protein
NCU12132.7	hypothetical protein
NCU03136.7	conserved hypothetical protein
NCU01455.7	signal recognition particle protein
NCU07183.7	conserved hypothetical protein
NCU01741.7	SNARE complex subunit
NCU03570.7	conserved hypothetical protein
NCU09611.7	fructosamine-3-kinase
NCU02108.7	BolA domain-containing protein
NCU16539.7	conserved hypothetical protein
NCU09868.7	predicted protein
NCU07117.7	ornithine-N5-oxygenase
NCU08004.7	electron transfer flavoprotein alpha-subunit
NCU05902.7	vacuolar assembly protein
NCU03287.7	conserved hypothetical protein
NCU16852.7	conserved hypothetical protein
NIL	conserved hypothetical protein
NCU04954.7	conserved hypothetical protein
NCU09528.7	nucleolar protein 16
NCU07952.7	C2H2 type zinc finger domain-containing protein
NCU04353.7	conserved hypothetical protein
NCU06708.7	protein transporter sec22
NCU06309.7	conserved hypothetical protein
NCU01076.7	conserved hypothetical protein
NCU16940.7	predicted protein
NCU05959.7	vesicle transport V-SNARE protein VTI1
NCU09130.7	conserved hypothetical protein
NCU09709.7	T-complex protein 1 subunit zeta
NCU16488.7	hypothetical protein
NCU00805.7	bZIP transcription factor
NCU01931.7	conserved hypothetical protein
NCU00022.7	conserved hypothetical protein
NCU00669.7	oligosaccharyl transferase subunit
NCU05784.7	conserved hypothetical protein
NCU03855.7	CCR4-NOT transcription complex
