Gene	ReactionId	RxnName	RxnEqn
NCU03084.7	RXN2T-161	EC 3.2.2.1	inosine + H<SUB>2</SUB>O  =  hypoxanthine + &beta;-D-ribopyranose
NCU00951.7	INORGPYROPHOSPHAT-RXN	EC 3.6.1.1	diphosphate + H<SUB>2</SUB>O  =  2 phosphate + H<SUP>+</SUP>
NCU08703.7	INORGPYROPHOSPHAT-RXN	EC 3.6.1.1	diphosphate + H<SUB>2</SUB>O  =  2 phosphate + H<SUP>+</SUP>
NCU10506.7	RXN2T-214	EC 3.1.1.3	1-18:0-2-18:1-3-18:2-triacylglycerol + H<SUB>2</SUB>O  =  stearate + 1-18:3-2-18:0-diacylglycerol + H<SUP>+</SUP>
NCU00761.7	RXN2T-214	EC 3.1.1.3	1-18:0-2-18:1-3-18:2-triacylglycerol + H<SUB>2</SUB>O  =  stearate + 1-18:3-2-18:0-diacylglycerol + H<SUP>+</SUP>
NCU03325.7	RXN2T-214	EC 3.1.1.3	1-18:0-2-18:1-3-18:2-triacylglycerol + H<SUB>2</SUB>O  =  stearate + 1-18:3-2-18:0-diacylglycerol + H<SUP>+</SUP>
NCU07741.7	RXN2T-296	EC 2.3.1.51	1-palmitoylglycerol 3-phosphate + linoleoyl-CoA  =  1-16:0-2-18:2-phosphatidate + coenzyme A
NCU00168.7	RXN2T-296	EC 2.3.1.51	1-palmitoylglycerol 3-phosphate + linoleoyl-CoA  =  1-16:0-2-18:2-phosphatidate + coenzyme A
NCU06194.7	RXN2T-296	EC 2.3.1.51	1-palmitoylglycerol 3-phosphate + linoleoyl-CoA  =  1-16:0-2-18:2-phosphatidate + coenzyme A
NCU06402.7	RXN2T-469	EC 1.14.13.72	4-&alpha;-methylzymosterol + NADPH + H<SUP>+</SUP> + oxygen  =  4&alpha;-hydroxymethyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol + NADP<sup>+</sup> + H<SUB>2</SUB>O
NCU03267.7	NAD-KIN-RXN	EC 2.7.1.23	ATP + NAD<sup>+</sup>  &rarr;  ADP + NADP<sup>+</sup> + H<SUP>+</SUP>
NCU07742.7	NAD-KIN-RXN	EC 2.7.1.23	ATP + NAD<sup>+</sup>  &rarr;  ADP + NADP<sup>+</sup> + H<SUP>+</SUP>
NCU03741.7	NAD-KIN-RXN	EC 2.7.1.23	ATP + NAD<sup>+</sup>  &rarr;  ADP + NADP<sup>+</sup> + H<SUP>+</SUP>
NCU08441.7	RXN2T-130	EC 6.2.1.2	ATP + 12,13(S)-epoxylinolenate + coenzyme A  =  AMP + OPC8-trans-2-enoyl-CoA + diphosphate
NCU10506.7	RXN2T-205	EC 3.1.1.3	1-18:0-2-18:2-3-18:3-triacylglycerol + H<SUB>2</SUB>O  =  oleate + 1-18:3-2-18:1-diacylglycerol + H<SUP>+</SUP>
NCU00761.7	RXN2T-205	EC 3.1.1.3	1-18:0-2-18:2-3-18:3-triacylglycerol + H<SUB>2</SUB>O  =  oleate + 1-18:3-2-18:1-diacylglycerol + H<SUP>+</SUP>
NCU03325.7	RXN2T-205	EC 3.1.1.3	1-18:0-2-18:2-3-18:3-triacylglycerol + H<SUB>2</SUB>O  =  oleate + 1-18:3-2-18:1-diacylglycerol + H<SUP>+</SUP>
NCU03415.7	RXN-10715	EC 1.2.1.3	indole acetaldehyde + NAD<sup>+</sup> + H<SUB>2</SUB>O  =  indole-3-acetate + NADH + 2 H<SUP>+</SUP>
NCU00378.7	RXN-10715	EC 1.2.1.3	indole acetaldehyde + NAD<sup>+</sup> + H<SUB>2</SUB>O  =  indole-3-acetate + NADH + 2 H<SUP>+</SUP>
NCU07053.7	RXN-10715	EC 1.2.1.3	indole acetaldehyde + NAD<sup>+</sup> + H<SUB>2</SUB>O  =  indole-3-acetate + NADH + 2 H<SUP>+</SUP>
NCU07741.7	RXN2T-293	EC 2.3.1.51	1-linoleneoyl-2-lyso-phosphatidate + linoleoyl-CoA  =  1-18:2-2-18:3-phosphatidate + coenzyme A
NCU00168.7	RXN2T-293	EC 2.3.1.51	1-linoleneoyl-2-lyso-phosphatidate + linoleoyl-CoA  =  1-18:2-2-18:3-phosphatidate + coenzyme A
NCU06194.7	RXN2T-293	EC 2.3.1.51	1-linoleneoyl-2-lyso-phosphatidate + linoleoyl-CoA  =  1-18:2-2-18:3-phosphatidate + coenzyme A
NCU06532.7	RXN2T-500	EC 1.3.5.2	(<i>S</i>)-dihydroorotate<SUB>[mitochondrial intermembrane space]</SUB> + ubiquinone-<i>6</i><SUB>[mitochondrial intermembrane space]</SUB>  =  orotate<SUB>[mitochondrial intermembrane space]</SUB> + ubiquinol-6<SUB>[mitochondrial intermembrane space]</SUB>
NCU06402.7	RXN2T-475	EC 1.14.13.72	4,4-dimethylzymosterol + NADPH + H<SUP>+</SUP> + oxygen  =  4&alpha;-hydroxymethyl-4&beta;-methyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol + NADP<sup>+</sup> + H<SUB>2</SUB>O
NCU10506.7	RXN2T-202	EC 3.1.1.3	1-16:0-2-18:0-3-24:0-triacylglycerol + H<SUB>2</SUB>O  =  arachidate + 1-20:0-2-18:0-diacylglycerol + H<SUP>+</SUP>
NCU00761.7	RXN2T-202	EC 3.1.1.3	1-16:0-2-18:0-3-24:0-triacylglycerol + H<SUB>2</SUB>O  =  arachidate + 1-20:0-2-18:0-diacylglycerol + H<SUP>+</SUP>
NCU03325.7	RXN2T-202	EC 3.1.1.3	1-16:0-2-18:0-3-24:0-triacylglycerol + H<SUB>2</SUB>O  =  arachidate + 1-20:0-2-18:0-diacylglycerol + H<SUP>+</SUP>
NCU03084.7	RXN2T-168	EC 3.2.2.1	adenosine + H<SUB>2</SUB>O  =  adenine + &beta;-D-ribofuranose
NCU08313.7	RXN2T-488	EC 1.1.1.302	2,5-diamino-6-(5-phospho-D-ribitylamino)pyrimidin-4(3H)-one + NAD<sup>+</sup>  =  2,5-diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one + NADH + H<SUP>+</SUP>
NCU04339.7	RXN2T-272	EC 2.7.1.15	ATP + &beta;-D-ribopyranose  =  D-ribose 5-phosphate + ADP + H<SUP>+</SUP>
NCU00580.7	SUCCINYL-COA-HYDROLASE-RXN	EC 3.1.2.3	succinyl-CoA + H<SUB>2</SUB>O  =  succinate + coenzyme A + H<SUP>+</SUP>
NCU03139.7	RXN-8001	EC 1.1.1.23	histidinol + 2 NAD<sup>+</sup> + H<SUB>2</SUB>O  =  L-histidine + 2 NADH + 3 H<SUP>+</SUP>
NCU06054.7	RXN2T-276	EC 2.5.1.21	presqualene diphosphate + NADH + H<SUP>+</SUP>  =  squalene + NAD<sup>+</sup> + diphosphate
NCU02416.7	RXN2T-388	EC 2.3.1.158	1-18:0-2-20:4-phosphatidate + 1-18:1-2-18:1-diacylglycerol  =  1-arachadoylglycerol 3-phosphate + 1-18:0-2-18:2-3-18:3-triacylglycerol
NCU02416.7	RXN2T-405	EC 2.3.1.158	1-18:1-2-16:0-phosphatidylglycerol + 1-18:3-2-18:2-diacylglycerol  =  1-18:2-lysophosphatidylglycerol + 1-16:0-2-18:1-3-18:3-triacylglycerol
NCU02416.7	RXN2T-367	EC 2.3.1.158	1-18:2-2-16:0-phosphatidylglycerol + 1-20:0-2-18:0-diacylglycerol  =  1-18:2-lysophosphatidylglycerol + 1-16:0-2-18:0-3-20:0-triacylglycerol
NCU02416.7	RXN2T-376	EC 2.3.1.158	1-20:0-2-18:0-phosphatidate + 1-18:3-2-16:0-diacylglycerol  =  1-arachadoylglycerol 3-phosphate + 1-16:0-2-18:1-3-18:2-triacylglycerol
NCU06024.7	RXN2T-133	EC 5.3.1.5	&beta;-D-glucose  =  &beta;-D-fructopyranose
NCU00838.7	RXN2T-133	EC 5.3.1.5	&beta;-D-glucose  =  &beta;-D-fructopyranose
NCU10044.7	RXN2T-133	EC 5.3.1.5	&beta;-D-glucose  =  &beta;-D-fructopyranose
NCU02564.7	SULFOCYS-RXN	EC 2.5.1.47	<i>O</i>-acetyl-L-serine + thiosulfate  =  S-sulfo-L-cysteine + acetate + H<SUP>+</SUP>
NCU06452.7	SULFOCYS-RXN	EC 2.5.1.47	<i>O</i>-acetyl-L-serine + thiosulfate  =  S-sulfo-L-cysteine + acetate + H<SUP>+</SUP>
NCU05828.7	ADENINE-DEAMINASE-RXN	EC 3.5.4.2	adenine + H<SUB>2</SUB>O  =  ammonia + hypoxanthine
NCU03935.7	RXN2T-490	EC 1.1.1.3	L-homoserine + NAD<sup>+</sup>  =  L-aspartate-semialdehyde + NADH + H<SUP>+</SUP>
NCU03955.7	RXN2T-187	EC 3.1.4.4	1-18:1-2-18:2-phosphatidylcholine + H<SUB>2</SUB>O  =  choline + 1-18:0-2-18:3-phosphatidate + H<SUP>+</SUP>
NCU10400.7	RXN2T-187	EC 3.1.4.4	1-18:1-2-18:2-phosphatidylcholine + H<SUB>2</SUB>O  =  choline + 1-18:0-2-18:3-phosphatidate + H<SUP>+</SUP>
NCU06342.7	RXN2T-187	EC 3.1.4.4	1-18:1-2-18:2-phosphatidylcholine + H<SUB>2</SUB>O  =  choline + 1-18:0-2-18:3-phosphatidate + H<SUP>+</SUP>
NCU03084.7	RXN2T-169	EC 3.2.2.1	adenosine + H<SUB>2</SUB>O  =  adenine + &alpha;-D-ribofuranose
NCU01824.7	GALPMUT-RXN	EC 5.4.99.9	UDP-D-galactose  =  UDP-D-galacto-1,4-furanose
NCU02416.7	RXN2T-436	EC 2.3.1.158	1-16:0-2-18:2-phosphatidate + 1-16:0-2-18:1-diacylglycerol  =  1-palmitoylglycerol 3-phosphate + 1-16:0-2-18:1-3-18:2-triacylglycerol
NCU06448.7	RXN-10697	EC 4.2.1.17	OPC8-trans-2-enoyl-CoA + H<SUB>2</SUB>O  =  OPC8-3-hydroxyacyl-CoA
NCU06652.7	RXN2T-486	EC 1.1.1.284	<i>S</i>-hydroxymethylglutathione + NAD<sup>+</sup>  =  <i>S</i>-formylglutathione + NADH + H<SUP>+</SUP>
NCU02110.7	RXN2T-446	EC 1.6.3.1	NADPH + H<SUP>+</SUP> + oxygen  =  hydrogen peroxide + NADP<sup>+</sup>
NCU03243.7	RXN2T-171	EC 3.1.4.3	1-18:3-2-18:2-phosphatidylcholine + H<SUB>2</SUB>O  =  1-18:3-2-18:2-diacylglycerol + phosphoryl-choline + H<SUP>+</SUP>
NCU10506.7	RXN2T-222	EC 3.1.1.3	1-16:0-2-18:0-3-20:0-triacylglycerol + H<SUB>2</SUB>O  =  arachidate + 1-16:0-2-18:0-diacylglycerol + H<SUP>+</SUP>
NCU00761.7	RXN2T-222	EC 3.1.1.3	1-16:0-2-18:0-3-20:0-triacylglycerol + H<SUB>2</SUB>O  =  arachidate + 1-16:0-2-18:0-diacylglycerol + H<SUP>+</SUP>
NCU03325.7	RXN2T-222	EC 3.1.1.3	1-16:0-2-18:0-3-20:0-triacylglycerol + H<SUB>2</SUB>O  =  arachidate + 1-16:0-2-18:0-diacylglycerol + H<SUP>+</SUP>
NCU03955.7	RXN2T-174	EC 3.1.4.4	1-20:1-2-18:2-phosphatidylcholine + H<SUB>2</SUB>O  =  choline + 1-18:0-2-20:4-phosphatidate + H<SUP>+</SUP>
NCU10400.7	RXN2T-174	EC 3.1.4.4	1-20:1-2-18:2-phosphatidylcholine + H<SUB>2</SUB>O  =  choline + 1-18:0-2-20:4-phosphatidate + H<SUP>+</SUP>
NCU06342.7	RXN2T-174	EC 3.1.4.4	1-20:1-2-18:2-phosphatidylcholine + H<SUB>2</SUB>O  =  choline + 1-18:0-2-20:4-phosphatidate + H<SUP>+</SUP>
NCU02416.7	RXN2T-346	EC 2.3.1.158	1-16:0-2-18:3-phosphatidylcholine + 1-20:0-2-18:0-diacylglycerol  =  1-18:3-lysophosphatidylcholine + 1-16:0-2-18:0-3-20:0-triacylglycerol
NCU02416.7	RXN2T-435	EC 2.3.1.158	1-18:3-2-16:0-phosphatidate + 1-16:0-2-18:1-diacylglycerol  =  1-palmitoylglycerol 3-phosphate + 1-16:0-2-18:1-3-18:3-triacylglycerol
NCU06402.7	RXN2T-467	EC 1.14.13.72	4&alpha;-hydroxymethyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol + NADPH + H<SUP>+</SUP> + oxygen  =  4&alpha;-formyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol + NADP<sup>+</sup> + 2.0 H<SUB>2</SUB>O
NCU03955.7	RXN2T-188	EC 3.1.4.4	1-18:2-2-18:1-phosphatidylcholine + H<SUB>2</SUB>O  =  choline + 1-18:1-2-18:2-phosphatidate + H<SUP>+</SUP>
NCU10400.7	RXN2T-188	EC 3.1.4.4	1-18:2-2-18:1-phosphatidylcholine + H<SUB>2</SUB>O  =  choline + 1-18:1-2-18:2-phosphatidate + H<SUP>+</SUP>
NCU06342.7	RXN2T-188	EC 3.1.4.4	1-18:2-2-18:1-phosphatidylcholine + H<SUB>2</SUB>O  =  choline + 1-18:1-2-18:2-phosphatidate + H<SUP>+</SUP>
NCU00580.7	RXN2T-197	EC 3.1.2.20	arachidoyl-CoA + H<SUB>2</SUB>O  =  arachidate + coenzyme A + H<SUP>+</SUP>
NCU07931.7	GLYOXYLATE-REDUCTASE-NADP+-RXN	EC 1.1.1.79	glycolate + NADP<sup>+</sup>  =  glyoxylate + NADPH + H<SUP>+</SUP>
NCU07442.7	RXN2T-463	EC 1.2.1.4	isobutanal + NADP<sup>+</sup> + H<SUB>2</SUB>O  =  2-butanoate + NADPH + 2.0 H<SUP>+</SUP>
NCU01106.7	RXN2T-452	EC 1.4.3.2	glycine + H<SUB>2</SUB>O + oxygen  =  glyoxylate + hydrogen peroxide + ammonia + H<SUP>+</SUP>
NCU01066.7	RXN2T-452	EC 1.4.3.2	glycine + H<SUB>2</SUB>O + oxygen  =  glyoxylate + hydrogen peroxide + ammonia + H<SUP>+</SUP>
NCU02665.7	RXN2T-317	EC 2.3.1.20	1-18:3-2-18:0-diacylglycerol + stearoyl-CoA  =  1-18:0-2-18:1-3-18:2-triacylglycerol + coenzyme A
NCU00655.7	RXN2T-456	EC 1.3.1.38	butanoyl-CoA + NADP<sup>+</sup>  =  crotonyl-CoA + NADPH + H<SUP>+</SUP>
NCU02416.7	RXN2T-410	EC 2.3.1.158	1-18:2-2-18:3-phosphatidylcholine + 1-16:0-2-18:1-diacylglycerol  =  1-18:3-lysophosphatidylcholine + 1-16:0-2-18:1-3-18:2-triacylglycerol
NCU07362.7	RXN-969	EC 1.1.3.15	glycolate + oxygen  =  glyoxylate + hydrogen peroxide
NCU05802.7	RXN2T-143	EC 3.6.1.15	dUTP + H<SUB>2</SUB>O  =  dUDP + phosphate + H<SUP>+</SUP>
NCU08928.7	RXN2T-143	EC 3.6.1.15	dUTP + H<SUB>2</SUB>O  =  dUDP + phosphate + H<SUP>+</SUP>
NCU03808.7	RXN2T-143	EC 3.6.1.15	dUTP + H<SUB>2</SUB>O  =  dUDP + phosphate + H<SUP>+</SUP>
NCU01441.7	RXN2T-143	EC 3.6.1.15	dUTP + H<SUB>2</SUB>O  =  dUDP + phosphate + H<SUP>+</SUP>
NCU01143.7	RXN2T-143	EC 3.6.1.15	dUTP + H<SUB>2</SUB>O  =  dUDP + phosphate + H<SUP>+</SUP>
NCU06318.7	RXN2T-143	EC 3.6.1.15	dUTP + H<SUB>2</SUB>O  =  dUDP + phosphate + H<SUP>+</SUP>
NCU01612.7	RXN2T-143	EC 3.6.1.15	dUTP + H<SUB>2</SUB>O  =  dUDP + phosphate + H<SUP>+</SUP>
NCU02728.7	RXN2T-143	EC 3.6.1.15	dUTP + H<SUB>2</SUB>O  =  dUDP + phosphate + H<SUP>+</SUP>
NCU05802.7	RXN2T-141	EC 3.6.1.15	CTP + H<SUB>2</SUB>O  =  CDP + phosphate + H<SUP>+</SUP>
NCU08928.7	RXN2T-141	EC 3.6.1.15	CTP + H<SUB>2</SUB>O  =  CDP + phosphate + H<SUP>+</SUP>
NCU03808.7	RXN2T-141	EC 3.6.1.15	CTP + H<SUB>2</SUB>O  =  CDP + phosphate + H<SUP>+</SUP>
NCU01441.7	RXN2T-141	EC 3.6.1.15	CTP + H<SUB>2</SUB>O  =  CDP + phosphate + H<SUP>+</SUP>
NCU01143.7	RXN2T-141	EC 3.6.1.15	CTP + H<SUB>2</SUB>O  =  CDP + phosphate + H<SUP>+</SUP>
NCU06318.7	RXN2T-141	EC 3.6.1.15	CTP + H<SUB>2</SUB>O  =  CDP + phosphate + H<SUP>+</SUP>
NCU01612.7	RXN2T-141	EC 3.6.1.15	CTP + H<SUB>2</SUB>O  =  CDP + phosphate + H<SUP>+</SUP>
NCU02728.7	RXN2T-141	EC 3.6.1.15	CTP + H<SUB>2</SUB>O  =  CDP + phosphate + H<SUP>+</SUP>
NCU02416.7	RXN2T-343	EC 2.3.1.158	1-20:1-2-18:2-phosphatidylcholine + 1-20:0-2-18:0-diacylglycerol  =  1-18:3-lysophosphatidylcholine + 1-16:0-2-18:0-3-24:0-triacylglycerol
NCU07741.7	RXN2T-292	EC 2.3.1.51	1-palmitoylglycerol 3-phosphate + linoleneoyl-CoA  =  1-18:3-2-16:0-phosphatidate + coenzyme A
NCU00168.7	RXN2T-292	EC 2.3.1.51	1-palmitoylglycerol 3-phosphate + linoleneoyl-CoA  =  1-18:3-2-16:0-phosphatidate + coenzyme A
NCU06194.7	RXN2T-292	EC 2.3.1.51	1-palmitoylglycerol 3-phosphate + linoleneoyl-CoA  =  1-18:3-2-16:0-phosphatidate + coenzyme A
NCU06402.7	RXN2T-473	EC 1.14.13.72	4&alpha;-hydroxymethyl-4&beta;-methyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol + NADPH + H<SUP>+</SUP> + oxygen  =  4&alpha;-formyl-4&beta;-methyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol + NADP<sup>+</sup> + 2.0 H<SUB>2</SUB>O
NCU02665.7	RXN2T-328	EC 2.3.1.20	1-18:1-2-18:1-diacylglycerol + linoleneoyl-CoA  =  1-18:0-2-18:2-3-18:3-triacylglycerol + coenzyme A
NCU02665.7	RXN2T-319	EC 2.3.1.20	1-18:3-2-18:1-diacylglycerol + stearoyl-CoA  =  1-18:0-2-18:1-3-18:3-triacylglycerol + coenzyme A
NCU06700.7	RXN2T-262	EC 3.1.1.23	glycerol 1-palmitate + H<SUB>2</SUB>O  =  glycerol + palmitate + H<SUP>+</SUP>
NCU02416.7	RXN2T-375	EC 2.3.1.158	1-20:0-2-18:0-phosphatidate + 1-18:3-2-18:0-diacylglycerol  =  1-arachadoylglycerol 3-phosphate + 1-18:0-2-18:1-3-18:2-triacylglycerol
NCU02665.7	RXN2T-321	EC 2.3.1.20	1-16:0-2-18:1-diacylglycerol + stearoyl-CoA  =  1-16:0-2-18:0-3-18:1-triacylglycerol + coenzyme A
NCU07741.7	RXN2T-290	EC 2.3.1.51	1-linoleneoyl-2-lyso-phosphatidate + linoleneoyl-CoA  =  1-18:3-2-18:3-phosphatidate + coenzyme A
NCU00168.7	RXN2T-290	EC 2.3.1.51	1-linoleneoyl-2-lyso-phosphatidate + linoleneoyl-CoA  =  1-18:3-2-18:3-phosphatidate + coenzyme A
NCU06194.7	RXN2T-290	EC 2.3.1.51	1-linoleneoyl-2-lyso-phosphatidate + linoleneoyl-CoA  =  1-18:3-2-18:3-phosphatidate + coenzyme A
NCU07053.7	RXN2T-460	EC 1.2.1.3	palmitaldehyde + NAD<sup>+</sup> + H<SUB>2</SUB>O  =  palmitate + NADH + 2.0 H<SUP>+</SUP>
NCU00378.7	RXN2T-460	EC 1.2.1.3	palmitaldehyde + NAD<sup>+</sup> + H<SUB>2</SUB>O  =  palmitate + NADH + 2.0 H<SUP>+</SUP>
NCU03415.7	RXN2T-460	EC 1.2.1.3	palmitaldehyde + NAD<sup>+</sup> + H<SUB>2</SUB>O  =  palmitate + NADH + 2.0 H<SUP>+</SUP>
NCU05985.7	RXN2T-309	EC 2.3.1.15	<i>sn</i>-glycerol-3-phosphate + stearoyl-CoA  =  1-stearoylglycerol 3-phosphate + coenzyme A
NCU11282.7	RXN2T-309	EC 2.3.1.15	<i>sn</i>-glycerol-3-phosphate + stearoyl-CoA  =  1-stearoylglycerol 3-phosphate + coenzyme A
NCU04069.7	325-BISPHOSPHATE-NUCLEOTIDASE-RXN	EC 3.1.3.7	adenosine 3',5'-bisphosphate + H<SUB>2</SUB>O  =  AMP + phosphate
NCU09567.7	325-BISPHOSPHATE-NUCLEOTIDASE-RXN	EC 3.1.3.7	adenosine 3',5'-bisphosphate + H<SUB>2</SUB>O  =  AMP + phosphate
NCU10506.7	RXN2T-227	EC 3.1.1.3	1-16:0-2-18:1-3-18:2-triacylglycerol + H<SUB>2</SUB>O  =  linoleate + 1-16:0-2-18:1-diacylglycerol + H<SUP>+</SUP>
NCU00761.7	RXN2T-227	EC 3.1.1.3	1-16:0-2-18:1-3-18:2-triacylglycerol + H<SUB>2</SUB>O  =  linoleate + 1-16:0-2-18:1-diacylglycerol + H<SUP>+</SUP>
NCU03325.7	RXN2T-227	EC 3.1.1.3	1-16:0-2-18:1-3-18:2-triacylglycerol + H<SUB>2</SUB>O  =  linoleate + 1-16:0-2-18:1-diacylglycerol + H<SUP>+</SUP>
NCU00585.7	RXN1F-144	EC 2.5.1.32	2 all-<i>trans</i>-geranyl-geranyl diphosphate  =  all-<i>trans</i>-phytoene + 2 diphosphate
NCU07741.7	RXN2T-307	EC 2.3.1.51	1-linoleyl-2-lyso-phosphatidate + oleoyl-CoA  =  1-18:0-2-18:3-phosphatidate + coenzyme A
NCU00168.7	RXN2T-307	EC 2.3.1.51	1-linoleyl-2-lyso-phosphatidate + oleoyl-CoA  =  1-18:0-2-18:3-phosphatidate + coenzyme A
NCU06194.7	RXN2T-307	EC 2.3.1.51	1-linoleyl-2-lyso-phosphatidate + oleoyl-CoA  =  1-18:0-2-18:3-phosphatidate + coenzyme A
NCU02416.7	RXN2T-379	EC 2.3.1.158	1-18:0-2-20:4-phosphatidate + 1-18:3-2-16:0-diacylglycerol  =  1-linoleneoyl-2-lyso-phosphatidate + 1-18:0-2-18:1-3-18:2-triacylglycerol
NCU10506.7	RXN2T-219	EC 3.1.1.3	1-16:0-2-18:0-3-18:1-triacylglycerol + H<SUB>2</SUB>O  =  palmitate + 1-18:0-2-18:1-diacylglycerol + H<SUP>+</SUP>
NCU00761.7	RXN2T-219	EC 3.1.1.3	1-16:0-2-18:0-3-18:1-triacylglycerol + H<SUB>2</SUB>O  =  palmitate + 1-18:0-2-18:1-diacylglycerol + H<SUP>+</SUP>
