Gene	Reaction	PathwayID	PathwayName
NCU07898.7	RXN-2043	PWY2T-7	cellulose degradation
NCU07974.7	RXN-2043	PWY2T-7	cellulose degradation
NCU08760.7	RXN-2043	PWY2T-7	cellulose degradation
NCU03328.7	RXN-2043	PWY2T-7	cellulose degradation
NCU05404.7	RXN-2043	PWY2T-7	cellulose degradation
NCU01867.7	RXN-2043	PWY2T-7	cellulose degradation
NCU02916.7	RXN-2043	PWY2T-7	cellulose degradation
NCU00836.7	RXN-2043	PWY2T-7	cellulose degradation
NCU02344.7	RXN-2043	PWY2T-7	cellulose degradation
NCU04854.7	RXN-2043	PWY2T-7	cellulose degradation
NCU05057.7	RXN-2043	PWY2T-7	cellulose degradation
NCU07340.7	RXN-2043	PWY2T-7	cellulose degradation
NCU07760.7	RXN-2043	PWY2T-7	cellulose degradation
NCU09680.7	RXN-2043	PWY2T-7	cellulose degradation
NCU06512.7	HOMOCYSMET-RXN	HSERMETANA-PWY	methionine biosynthesis III
NCU02550.7	ALPHAGALACTOSID-RXN	PWY0-1301	melibiose degradation
NCU02657.7	S-ADENMETSYN-RXN	METHIONINE-DEG1-PWY	methionine degradation I (to homocysteine)
NCU07941.7	ASPAMINOTRANS-RXN	ASPARTATESYN-PWY	aspartate biosynthesis
NCU08411.7	ASPAMINOTRANS-RXN	ASPARTATESYN-PWY	aspartate biosynthesis
NCU03254.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU00762.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU08227.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU07190.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU01162.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU03914.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU05121.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU02240.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU05882.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU01050.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU07898.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU07974.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU08760.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU03328.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU05404.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU01867.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU02916.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU00836.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU02344.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU04854.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU05057.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU07340.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU07760.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU09680.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU01119.7	LANOSTEROL-SYNTHASE-RXN	PWY-6132	lanosterol biosynthesis
NCU00944.7	THREONINE-ALDOLASE-RXN	PWY-5436	threonine degradation IV
NCU02702.7	GLUCOKIN-RXN	ANAEROFRUCAT-PWY	homolactic fermentation
NCU00720.7	PWY-5481	ANAEROFRUCAT-PWY	homolactic fermentation
NCU03539.7	CDPREDUCT-RXN	PWY0-166	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I
NCU07887.7	CDPREDUCT-RXN	PWY0-166	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I
NCU03539.7	UDPREDUCT-RXN	PWY0-166	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I
NCU07887.7	UDPREDUCT-RXN	PWY0-166	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I
NCU04510.7	RXN-8772	PWY-5515	L-arabinose degradation II
NCU06694.7	ICOSANOYL-COA-SYNTHASE-RXN	PWY2T-27	fatty acid elongation
NCU08976.7	ICOSANOYL-COA-SYNTHASE-RXN	PWY2T-27	fatty acid elongation
NCU02296.7	ALLANTOINASE-RXN	PWY-5697	allantoin degradation to ureidoglycolate I (urea producing)
NCU09116.7	TYROSINE-AMINOTRANSFERASE-RXN	PWY-5886	4-hydroxyphenylpyruvate biosynthesis
NCU03756.7	TYROSINE-AMINOTRANSFERASE-RXN	PWY-5886	4-hydroxyphenylpyruvate biosynthesis
NCU07982.7	ACETOLACTSYN-RXN	VALSYN-PWY	valine biosynthesis
NCU01666.7	ACETOLACTSYN-RXN	VALSYN-PWY	valine biosynthesis
NCU01786.7	PRPPSYN-RXN	PWY0-662	PRPP biosynthesis I
NCU05254.7	PRPPSYN-RXN	PWY0-662	PRPP biosynthesis I
NCU06970.7	PRPPSYN-RXN	PWY0-662	PRPP biosynthesis I
NCU01270.7	PRPPSYN-RXN	PWY0-662	PRPP biosynthesis I
NCU06918.7	TRANS-RXN-195	PWY-6227	purine uptake
NCU01744.7	GLUTAMATE-SYNTHASE-NADH-RXN	PWY2T-3	am and en(am)-2
NCU01195.7	GLUTDEHYD-RXN	PWY2T-3	am and en(am)-2
NCU08925.7	RXN-9015	PWY-5760	&beta;-alanine biosynthesis V
NCU07608.7	RIB5PISOM-RXN	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)
NCU00519.7	RIBULP3EPIM-RXN	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)
NCU00642.7	BETAGALACTOSID-RXN	BGALACT-PWY	lactose degradation III
NCU00985.7	BETAGALACTOSID-RXN	BGALACT-PWY	lactose degradation III
NCU00810.7	BETAGALACTOSID-RXN	BGALACT-PWY	lactose degradation III
NCU04623.7	BETAGALACTOSID-RXN	BGALACT-PWY	lactose degradation III
NCU05956.7	BETAGALACTOSID-RXN	BGALACT-PWY	lactose degradation III
NCU05752.7	TRYPTOPHAN-23-DIOXYGENASE-RXN	PWY-5651	tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde
NCU11353.7	XYLULOKIN-RXN	NONOXIPENT-PWY-1	pentose phosphate pathway (non-oxidative branch)
NCU05983.7	DIOHBUTANONEPSYN-RXN	PWY-6168	flavin biosynthesis III (fungi)
NCU07188.7	GTP-CYCLOHYDRO-II-RXN	PWY-6168	flavin biosynthesis III (fungi)
NCU01449.7	GTP-CYCLOHYDRO-II-RXN	PWY-6168	flavin biosynthesis III (fungi)
NCU07774.7	GTP-CYCLOHYDRO-I-RXN	FOLSYN-PWY	tetrahydrofolate biosynthesis
NCU03877.7	METHENYLTHFCYCLOHYDRO-RXN	FOLSYN-PWY	tetrahydrofolate biosynthesis
NCU00963.7	METHENYLTHFCYCLOHYDRO-RXN	FOLSYN-PWY	tetrahydrofolate biosynthesis
NCU06714.7	PABASYN-RXN	FOLSYN-PWY	tetrahydrofolate biosynthesis
NCU05805.7	GLYOHMETRANS-RXN	GLYSYN-PWY	glycine biosynthesis I
NCU02274.7	GLYOHMETRANS-RXN	GLYSYN-PWY	glycine biosynthesis I
NCU02305.7	RXN-8992	PWY-5783	octaprenyl diphosphate biosynthesis
NCU04216.7	PRPPAMIDOTRANS-RXN	PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I
NCU02193.7	RXN-6161	PWY-5486	pyruvate fermentation to ethanol II
NCU02397.7	RXN-6161	PWY-5486	pyruvate fermentation to ethanol II
NCU07366.7	L-GLN-FRUCT-6-P-AMINOTRANS-RXN	UDPNACETYLGALSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II
NCU02571.7	ACETYL-COA-ACETYLTRANSFER-RXN	PWY-922	mevalonate pathway I
NCU07719.7	IPPISOM-RXN	PWY-5123	<i>trans, trans</i>-farnesyl diphosphate biosynthesis I
NCU07732.7	CARBPSYN-RXN	PWY-5686	uridine-5'-phosphate biosynthesis
NCU02677.7	CARBPSYN-RXN	PWY-5686	uridine-5'-phosphate biosynthesis
NCU08287.7	CARBPSYN-RXN	PWY-5686	uridine-5'-phosphate biosynthesis
NCU00742.7	1.1.1.8-RXN	PWY-6118	glycerol-3-phosphate shuttle
NCU01744.7	GLUTAMATE-SYNTHASE-NADH-RXN	GLUGLNSYN-PWY	glutamate biosynthesis IV
NCU04292.7	BRANCHED-CHAINAMINOTRANSFERVAL-RXN	PWY-5057	valine degradation II
NCU04754.7	BRANCHED-CHAINAMINOTRANSFERVAL-RXN	PWY-5057	valine degradation II
NCU00792.7	BRANCHED-CHAINAMINOTRANSFERVAL-RXN	PWY-5057	valine degradation II
NCU03748.7	1.5.1.8-RXN	LYSINE-DEG1-PWY	lysine degradation II
NIL	CYTOCHROME-C-OXIDASE-RXN	PWY2T-2574	aerobic respiration
NIL	CYTOCHROME-C-OXIDASE-RXN	PWY2T-2574	aerobic respiration
NIL	CYTOCHROME-C-OXIDASE-RXN	PWY2T-2574	aerobic respiration
NCU05816.7	CYTOCHROME-C-OXIDASE-RXN	PWY2T-2574	aerobic respiration
NCU05689.7	CYTOCHROME-C-OXIDASE-RXN	PWY2T-2574	aerobic respiration
NCU05457.7	CYTOCHROME-C-OXIDASE-RXN	PWY2T-2574	aerobic respiration
NCU06741.7	CYTOCHROME-C-OXIDASE-RXN	PWY2T-2574	aerobic respiration
NCU06695.7	CYTOCHROME-C-OXIDASE-RXN	PWY2T-2574	aerobic respiration
NCU01258.7	R524-RXN	CYANCAT-PWY	cyanate degradation
NCU10048.7	3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN	PANTO-PWY	pantothenate biosynthesis I
NCU04292.7	BRANCHED-CHAINAMINOTRANSFERVAL-RXN	VALDEG-PWY	valine degradation I
NCU04754.7	BRANCHED-CHAINAMINOTRANSFERVAL-RXN	VALDEG-PWY	valine degradation I
NCU00792.7	BRANCHED-CHAINAMINOTRANSFERVAL-RXN	VALDEG-PWY	valine degradation I
NCU09116.7	TYROSINE-AMINOTRANSFERASE-RXN	TYRFUMCAT-PWY	tyrosine degradation I
NCU03756.7	TYROSINE-AMINOTRANSFERASE-RXN	TYRFUMCAT-PWY	tyrosine degradation I
NCU03880.7	2.7.7.15-RXN	PWY-3561	choline biosynthesis III
NCU02657.7	S-ADENMETSYN-RXN	SAM-PWY	S-adenosylmethionine biosynthesis
NCU02812.7	UMPKI-RXN	PWY-5687	pyrimidine ribonucleotides interconversion
NCU02702.7	GLUCOKIN-RXN	PWY-5661	GDP-glucose biosynthesis
NCU03973.7	ALANINE-AMINOTRANSFERASE-RXN	ALANINE-DEG3-PWY	alanine degradation III
NCU00405.7	GLYCINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY-1	tRNA charging pathway
NCU06914.7	HISTIDINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY-1	tRNA charging pathway
NCU00931.7	LYSINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY-1	tRNA charging pathway
NCU04020.7	LYSINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY-1	tRNA charging pathway
NCU07451.7	METHIONINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY-1	tRNA charging pathway
NCU03759.7	METHIONINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY-1	tRNA charging pathway
NCU01512.7	PHENYLALANINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY-1	tRNA charging pathway
NCU08888.7	PHENYLALANINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY-1	tRNA charging pathway
NCU05095.7	PHENYLALANINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY-1	tRNA charging pathway
NCU09892.7	PROLINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY-1	tRNA charging pathway
NCU04449.7	PROLINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY-1	tRNA charging pathway
NCU09594.7	SERINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY-1	tRNA charging pathway
NCU01443.7	SERINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY-1	tRNA charging pathway
NCU03129.7	THREONINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY-1	tRNA charging pathway
NCU02380.7	THREONINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY-1	tRNA charging pathway
NCU06722.7	TRYPTOPHAN--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY-1	tRNA charging pathway
NCU03030.7	TYROSINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY-1	tRNA charging pathway
NCU07755.7	TYROSINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY-1	tRNA charging pathway
NCU02585.7	ASPARTATE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY-1	tRNA charging pathway
NCU00915.7	ASPARTATE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY-1	tRNA charging pathway
NCU07082.7	ASPARTATE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY-1	tRNA charging pathway
NCU06457.7	ASPARAGINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY-1	tRNA charging pathway
NCU06866.7	ASPARAGINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY-1	tRNA charging pathway
NCU02566.7	ALANINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY-1	tRNA charging pathway
NCU01965.7	VALINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY-1	tRNA charging pathway
NCU09463.7	LEUCINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY-1	tRNA charging pathway
NCU03814.7	LEUCINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY-1	tRNA charging pathway
NCU00920.7	ISOLEUCINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY-1	tRNA charging pathway
NCU03575.7	ISOLEUCINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY-1	tRNA charging pathway
NCU00466.7	GLURS-RXN	TRNA-CHARGING-PWY-1	tRNA charging pathway
NCU08894.7	GLURS-RXN	TRNA-CHARGING-PWY-1	tRNA charging pathway
NCU07926.7	GLUTAMINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY-1	tRNA charging pathway
NCU05642.7	CYSTEINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY-1	tRNA charging pathway
NCU08195.7	ARGININE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY-1	tRNA charging pathway
NCU07941.7	ASPARTATESYN-PWY	PWY-3001	isoleucine biosynthesis I
NCU08411.7	ASPARTATESYN-PWY	PWY-3001	isoleucine biosynthesis I
NIL	CYTOCHROME-C-OXIDASE-RXN	PWY2T-4	xylose story
NIL	CYTOCHROME-C-OXIDASE-RXN	PWY2T-4	xylose story
NIL	CYTOCHROME-C-OXIDASE-RXN	PWY2T-4	xylose story
NCU05816.7	CYTOCHROME-C-OXIDASE-RXN	PWY2T-4	xylose story
NCU05689.7	CYTOCHROME-C-OXIDASE-RXN	PWY2T-4	xylose story
NCU05457.7	CYTOCHROME-C-OXIDASE-RXN	PWY2T-4	xylose story
NCU06741.7	CYTOCHROME-C-OXIDASE-RXN	PWY2T-4	xylose story
NCU06695.7	CYTOCHROME-C-OXIDASE-RXN	PWY2T-4	xylose story
NCU03756.7	2.6.1.28-RXN	PWY-5081	tryptophan degradation VIII (to tryptophol)
NCU03756.7	TRYPTOPHAN-AMINOTRANSFERASE-RXN	PWY-5081	tryptophan degradation VIII (to tryptophol)
NCU04292.7	BRANCHED-CHAINAMINOTRANSFERLEU-RXN	LEU-DEG2-PWY	leucine degradation I
NCU00792.7	BRANCHED-CHAINAMINOTRANSFERLEU-RXN	LEU-DEG2-PWY	leucine degradation I
